Most common words,Absolute frequency,Relative frequency
one,597.0,0.006654405617789667
said,584.0,0.006509502312879675
mr,544.0,0.0060636459900796965
could,506.0,0.005640082483419718
like,401.0,0.004469709636069776
rochester,366.0,0.004079585353619796
jane,351.0,0.003912389232569804
well,348.0,0.003878950008359806
little,341.0,0.00380092515186981
must,316.0,0.0035222649501198237
sir,315.0,0.0035111185420498244
miss,310.0,0.003455386501699827
never,294.0,0.003277043972579836
see,277.0,0.0030875550353898456
room,263.0,0.0029315053224098536
thought,255.0,0.002842334057849858
mrs,252.0,0.0028088948336398595
long,249.0,0.002775455609429861
go,249.0,0.002775455609429861
yet,247.0,0.002753162793289862
still,246.0,0.002742016385219863
time,244.0,0.002719723569079864
shall,239.0,0.002663991528729867
day,237.0,0.002641698712589868
good,236.0,0.0026305523045198685
know,229.0,0.0025525274480298725
come,224.0,0.002496795407679875
night,222.0,0.002474502591539876
looked,221.0,0.0024633561834698768
think,219.0,0.002441063367329878
seemed,210.0,0.002340745694699883
much,209.0,0.0023295992866298834
john,202.0,0.0022515744301398874
yes,202.0,0.0022515744301398874
say,200.0,0.0022292816139998888
two,198.0,0.0022069887978598897
face,192.0,0.002140110349439893
first,187.0,0.0020843783090898956
eyes,187.0,0.0020843783090898956
saw,186.0,0.0020732319010198963
hand,183.0,0.002039792676809898
door,183.0,0.002039792676809898
house,182.0,0.0020286462687398987
heard,180.0,0.0020063534525998996
heart,176.0,0.001961767820319902
last,175.0,0.0019506214122499024
came,174.0,0.001939475004179903
made,166.0,0.0018503037396199074
nothing,166.0,0.0018503037396199074
felt,162.0,0.0018057181073399097
life,162.0,0.0018057181073399097
might,161.0,0.0017945716992699102
may,160.0,0.001783425291199911
ever,160.0,0.001783425291199911
asked,155.0,0.0017276932508499135
look,154.0,0.0017165468427799142
soon,153.0,0.0017054004347099147
make,152.0,0.0016942540266399154
take,152.0,0.0016942540266399154
love,151.0,0.0016831076185699159
away,150.0,0.0016719612104999163
way,150.0,0.0016719612104999163
tell,149.0,0.001660814802429917
without,149.0,0.001660814802429917
man,146.0,0.0016273755782199187
went,144.0,0.0016050827620799196
left,143.0,0.0015939363540099203
quite,141.0,0.0015716435378699215
put,138.0,0.0015382043136599232
cannot,137.0,0.0015270579055899236
st,137.0,0.0015270579055899236
fairfax,137.0,0.0015270579055899236
something,136.0,0.0015159114975199241
head,136.0,0.0015159114975199241
though,135.0,0.0015047650894499248
back,135.0,0.0015047650894499248
adele,135.0,0.0015047650894499248
let,134.0,0.0014936186813799253
half,134.0,0.0014936186813799253
give,133.0,0.0014824722733099258
bessie,131.0,0.001460179457169927
near,131.0,0.001460179457169927
found,129.0,0.0014378866410299281
reed,129.0,0.0014378866410299281
hour,128.0,0.0014267402329599286
us,127.0,0.0014155938248899293
better,126.0,0.0014044474168199298
voice,124.0,0.001382154600679931
mind,124.0,0.001382154600679931
stood,124.0,0.001382154600679931
rather,123.0,0.0013710081926099314
took,123.0,0.0013710081926099314
fire,122.0,0.001359861784539932
even,122.0,0.001359861784539932
morning,121.0,0.0013487153764699326
great,119.0,0.0013264225603299338
old,119.0,0.0013264225603299338
far,118.0,0.0013152761522599342
eye,117.0,0.0013041297441899347
round,116.0,0.0012929833361199354
another,114.0,0.0012706905199799364
oh,114.0,0.0012706905199799364
indeed,113.0,0.001259544111909937
knew,112.0,0.0012483977038399376
new,112.0,0.0012483977038399376
till,112.0,0.0012483977038399376
god,110.0,0.0012261048876999387
moment,110.0,0.0012261048876999387
place,108.0,0.00120381207155994
leave,108.0,0.00120381207155994
enough,107.0,0.0011926656634899404
eyre,106.0,0.0011815192554199409
wish,106.0,0.0011815192554199409
words,105.0,0.0011703728473499416
sat,105.0,0.0011703728473499416
hall,105.0,0.0011703728473499416
perhaps,104.0,0.001159226439279942
every,104.0,0.001159226439279942
work,101.0,0.0011257872150699437
got,101.0,0.0011257872150699437
almost,100.0,0.0011146408069999444
master,100.0,0.0011146408069999444
looking,100.0,0.0011146408069999444
thornfield,100.0,0.0011146408069999444
turned,98.0,0.0010923479908599453
lady,98.0,0.0010923479908599453
sure,97.0,0.001081201582789946
strange,97.0,0.001081201582789946
light,97.0,0.001081201582789946
gutenberg,96.0,0.0010700551747199465
rose,96.0,0.0010700551747199465
mary,96.0,0.0010700551747199465
dark,95.0,0.001058908766649947
full,95.0,0.001058908766649947
passed,94.0,0.0010477623585799477
woman,94.0,0.0010477623585799477
three,93.0,0.0010366159505099482
evening,92.0,0.0010254695424399486
get,92.0,0.0010254695424399486
child,90.0,0.0010031767262999498
ingram,90.0,0.0010031767262999498
right,89.0,0.0009920303182299505
hear,89.0,0.0009920303182299505
project,88.0,0.000980883910159951
want,87.0,0.0009697375020899515
school,87.0,0.0009697375020899515
always,87.0,0.0009697375020899515
feel,87.0,0.0009697375020899515
side,87.0,0.0009697375020899515
word,86.0,0.000958591094019952
answer,86.0,0.000958591094019952
bed,86.0,0.000958591094019952
black,84.0,0.0009362982778799532
years,84.0,0.0009362982778799532
told,83.0,0.0009251518698099537
girl,83.0,0.0009251518698099537
cold,82.0,0.0009140054617399543
