Most common words,Absolute frequency,Relative frequency
one,597.0,0.010608618391825855
said,584.0,0.01037760995113283
mr,544.0,0.009666814749000444
could,506.0,0.008991559306974678
like,401.0,0.007125721901377165
rochester,366.0,0.006503776099511328
jane,351.0,0.006237227898711684
well,348.0,0.006183918258551755
little,341.0,0.006059529098178587
must,316.0,0.0056152820968458465
sir,315.0,0.005597512216792537
miss,310.0,0.005508662816525988
never,294.0,0.005224344735673034
see,277.0,0.0049222567747667706
room,263.0,0.004673478454020435
thought,255.0,0.004531319413593958
mrs,252.0,0.004478009773434029
long,249.0,0.0044247001332741
go,249.0,0.0044247001332741
yet,247.0,0.004389160373167481
still,246.0,0.004371390493114171
time,244.0,0.004335850733007552
shall,239.0,0.004247001332741004
day,237.0,0.004211461572634385
good,236.0,0.004193691692581075
know,229.0,0.004069302532207907
come,224.0,0.003980453131941359
night,222.0,0.0039449133718347405
looked,221.0,0.003927143491781431
think,219.0,0.003891603731674811
seemed,210.0,0.0037316748111950243
much,209.0,0.0037139049311417146
john,202.0,0.0035895157707685472
yes,202.0,0.0035895157707685472
say,200.0,0.003553976010661928
two,198.0,0.003518436250555309
face,192.0,0.003411816970235451
first,187.0,0.003322967569968903
eyes,187.0,0.003322967569968903
saw,186.0,0.003305197689915593
hand,183.0,0.003251888049755664
door,183.0,0.003251888049755664
house,182.0,0.0032341181697023544
heard,180.0,0.003198578409595735
heart,176.0,0.0031274988893824967
last,175.0,0.003109729009329187
came,174.0,0.0030919591292758774
made,166.0,0.0029498000888494003
nothing,166.0,0.0029498000888494003
felt,162.0,0.0028787205686361616
life,162.0,0.0028787205686361616
might,161.0,0.002860950688582852
may,160.0,0.0028431808085295426
ever,160.0,0.0028431808085295426
asked,155.0,0.002754331408262994
look,154.0,0.0027365615282096845
soon,153.0,0.002718791648156375
make,152.0,0.002701021768103065
take,152.0,0.002701021768103065
love,151.0,0.0026832518880497555
away,150.0,0.0026654820079964462
way,150.0,0.0026654820079964462
tell,149.0,0.0026477121279431365
without,149.0,0.0026477121279431365
man,146.0,0.0025944024877832075
went,144.0,0.002558862727676588
left,143.0,0.0025410928476232784
quite,141.0,0.002505553087516659
put,138.0,0.0024522434473567304
cannot,137.0,0.0024344735673034208
st,137.0,0.0024344735673034208
fairfax,137.0,0.0024344735673034208
something,136.0,0.002416703687250111
head,136.0,0.002416703687250111
though,135.0,0.0023989338071968014
back,135.0,0.0023989338071968014
adele,135.0,0.0023989338071968014
let,134.0,0.0023811639271434917
half,134.0,0.0023811639271434917
give,133.0,0.002363394047090182
bessie,131.0,0.002327854286983563
near,131.0,0.002327854286983563
found,129.0,0.0022923145268769437
reed,129.0,0.0022923145268769437
hour,128.0,0.002274544646823634
us,127.0,0.0022567747667703243
better,126.0,0.0022390048867170147
voice,124.0,0.0022034651266103953
mind,124.0,0.0022034651266103953
stood,124.0,0.0022034651266103953
rather,123.0,0.0021856952465570856
took,123.0,0.0021856952465570856
fire,122.0,0.002167925366503776
even,122.0,0.002167925366503776
morning,121.0,0.0021501554864504667
great,119.0,0.0021146157263438473
old,119.0,0.0021146157263438473
far,118.0,0.0020968458462905376
eye,117.0,0.002079075966237228
round,116.0,0.0020613060861839182
another,114.0,0.002025766326077299
oh,114.0,0.002025766326077299
indeed,113.0,0.002007996446023989
knew,112.0,0.0019902265659706795
new,112.0,0.0019902265659706795
till,112.0,0.0019902265659706795
god,110.0,0.0019546868058640606
moment,110.0,0.0019546868058640606
place,108.0,0.0019191470457574412
leave,108.0,0.0019191470457574412
enough,107.0,0.0019013771657041315
eyre,106.0,0.0018836072856508218
wish,106.0,0.0018836072856508218
words,105.0,0.0018658374055975121
sat,105.0,0.0018658374055975121
hall,105.0,0.0018658374055975121
perhaps,104.0,0.0018480675255442027
every,104.0,0.0018480675255442027
work,101.0,0.0017947578853842736
got,101.0,0.0017947578853842736
almost,100.0,0.001776988005330964
master,100.0,0.001776988005330964
looking,100.0,0.001776988005330964
thornfield,100.0,0.001776988005330964
turned,98.0,0.0017414482452243448
lady,98.0,0.0017414482452243448
sure,97.0,0.001723678365171035
strange,97.0,0.001723678365171035
light,97.0,0.001723678365171035
gutenberg,96.0,0.0017059084851177254
rose,96.0,0.0017059084851177254
mary,96.0,0.0017059084851177254
dark,95.0,0.0016881386050644157
full,95.0,0.0016881386050644157
passed,94.0,0.0016703687250111063
woman,94.0,0.0016703687250111063
three,93.0,0.0016525988449577966
evening,92.0,0.0016348289649044869
get,92.0,0.0016348289649044869
child,90.0,0.0015992892047978675
ingram,90.0,0.0015992892047978675
right,89.0,0.001581519324744558
hear,89.0,0.001581519324744558
project,88.0,0.0015637494446912484
want,87.0,0.0015459795646379387
school,87.0,0.0015459795646379387
always,87.0,0.0015459795646379387
feel,87.0,0.0015459795646379387
side,87.0,0.0015459795646379387
word,86.0,0.001528209684584629
answer,86.0,0.001528209684584629
bed,86.0,0.001528209684584629
black,84.0,0.0014926699244780098
years,84.0,0.0014926699244780098
told,83.0,0.0014749000444247002
girl,83.0,0.0014749000444247002
cold,82.0,0.0014571301643713905
speak,82.0,0.0014571301643713905
name,82.0,0.0014571301643713905
young,81.0,0.0014393602843180808
gave,80.0,0.0014215904042647713
world,80.0,0.0014215904042647713
home,80.0,0.0014215904042647713
called,80.0,0.0014215904042647713
nature,79.0,0.0014038205242114616
whether,78.0,0.001386050644158152
ladies,78.0,0.001386050644158152
since,77.0,0.0013682807641048423
window,77.0,0.0013682807641048423
done,76.0,0.0013505108840515326
thing,76.0,0.0013505108840515326
continued,76.0,0.0013505108840515326
mine,76.0,0.0013505108840515326
hands,76.0,0.0013505108840515326
find,76.0,0.0013505108840515326
hope,76.0,0.0013505108840515326
diana,76.0,0.0013505108840515326
alone,75.0,0.0013327410039982231
minutes,75.0,0.0013327410039982231
answered,75.0,0.0013327410039982231
seen,75.0,0.0013327410039982231
keep,74.0,0.0013149711239449134
wife,74.0,0.0013149711239449134
certain,73.0,0.0012972012438916037
white,73.0,0.0012972012438916037
low,73.0,0.0012972012438916037
least,72.0,0.001279431363838294
pleasure,72.0,0.001279431363838294
days,71.0,0.0012616614837849844
wished,71.0,0.0012616614837849844
read,71.0,0.0012616614837849844
sort,71.0,0.0012616614837849844
going,71.0,0.0012616614837849844
often,70.0,0.001243891603731675
sometimes,70.0,0.001243891603731675
table,70.0,0.001243891603731675
many,70.0,0.001243891603731675
open,70.0,0.001243891603731675
things,69.0,0.0012261217236783652
lay,69.0,0.0012261217236783652
course,69.0,0.0012261217236783652
set,68.0,0.0012083518436250555
thus,68.0,0.0012083518436250555
brought,68.0,0.0012083518436250555
besides,68.0,0.0012083518436250555
hair,68.0,0.0012083518436250555
believe,68.0,0.0012083518436250555
return,68.0,0.0012083518436250555
large,67.0,0.0011905819635717458
live,67.0,0.0011905819635717458
feeling,67.0,0.0011905819635717458
people,67.0,0.0011905819635717458
whose,66.0,0.0011728120835184362
returned,66.0,0.0011728120835184362
either,66.0,0.0011728120835184362
chair,66.0,0.0011728120835184362
however,66.0,0.0011728120835184362
gone,66.0,0.0011728120835184362
suppose,66.0,0.0011728120835184362
poor,66.0,0.0011728120835184362
rest,66.0,0.0011728120835184362
present,65.0,0.0011550422034651267
temple,65.0,0.0011550422034651267
opened,64.0,0.001137272323411817
given,64.0,0.001137272323411817
ask,64.0,0.001137272323411817
talk,63.0,0.0011195024433585073
fear,63.0,0.0011195024433585073
helen,63.0,0.0011195024433585073
doubt,62.0,0.0011017325633051976
taken,62.0,0.0011017325633051976
part,62.0,0.0011017325633051976
best,62.0,0.0011017325633051976
lips,62.0,0.0011017325633051976
sit,61.0,0.001083962683251888
silence,61.0,0.001083962683251888
mason,61.0,0.001083962683251888
anything,60.0,0.0010661928031985785
entered,60.0,0.0010661928031985785
air,60.0,0.0010661928031985785
within,60.0,0.0010661928031985785
high,59.0,0.0010484229231452688
wild,59.0,0.0010484229231452688
sense,58.0,0.0010306530430919591
turn,58.0,0.0010306530430919591
quiet,58.0,0.0010306530430919591
appeared,58.0,0.0010306530430919591
fine,58.0,0.0010306530430919591
end,58.0,0.0010306530430919591
neither,57.0,0.0010128831630386494
behind,57.0,0.0010128831630386494
cried,57.0,0.0010128831630386494
mother,57.0,0.0010128831630386494
towards,57.0,0.0010128831630386494
water,57.0,0.0010128831630386494
tm,57.0,0.0010128831630386494
death,56.0,0.0009951132829853397
father,56.0,0.0009951132829853397
followed,56.0,0.0009951132829853397
kind,56.0,0.0009951132829853397
brocklehurst,56.0,0.0009951132829853397
liked,55.0,0.0009773434029320303
pale,55.0,0.0009773434029320303
fell,55.0,0.0009773434029320303
lowood,55.0,0.0009773434029320303
rivers,55.0,0.0009773434029320303
happy,54.0,0.0009595735228787206
book,54.0,0.0009595735228787206
arms,54.0,0.0009595735228787206
dead,54.0,0.0009595735228787206
stay,54.0,0.0009595735228787206
married,54.0,0.0009595735228787206
strong,54.0,0.0009595735228787206
already,53.0,0.0009418036428254109
care,53.0,0.0009418036428254109
began,53.0,0.0009418036428254109
mean,52.0,0.0009240337627721013
walk,52.0,0.0009240337627721013
close,52.0,0.0009240337627721013
person,52.0,0.0009240337627721013
upon,51.0,0.0009062638827187917
remember,51.0,0.0009062638827187917
hard,51.0,0.0009062638827187917
wanted,51.0,0.0009062638827187917
point,51.0,0.0009062638827187917
idea,50.0,0.000888494002665482
whole,50.0,0.000888494002665482
second,49.0,0.0008707241226121724
deep,49.0,0.0008707241226121724
step,49.0,0.0008707241226121724
received,49.0,0.0008707241226121724
kept,49.0,0.0008707241226121724
sound,49.0,0.0008707241226121724
longer,49.0,0.0008707241226121724
next,49.0,0.0008707241226121724
grace,49.0,0.0008707241226121724
marry,49.0,0.0008707241226121724
character,48.0,0.0008529542425588627
power,48.0,0.0008529542425588627
wind,48.0,0.0008529542425588627
question,48.0,0.0008529542425588627
feelings,48.0,0.0008529542425588627
laid,48.0,0.0008529542425588627
clock,48.0,0.0008529542425588627
candle,48.0,0.0008529542425588627
used,48.0,0.0008529542425588627
small,47.0,0.0008351843625055531
drawing,47.0,0.0008351843625055531
shut,47.0,0.0008351843625055531
sisters,47.0,0.0008351843625055531
struck,47.0,0.0008351843625055531
ran,47.0,0.0008351843625055531
spirit,47.0,0.0008351843625055531
smile,47.0,0.0008351843625055531
short,47.0,0.0008351843625055531
human,46.0,0.0008174144824522434
stopped,46.0,0.0008174144824522434
coming,46.0,0.0008174144824522434
less,46.0,0.0008174144824522434
become,46.0,0.0008174144824522434
together,46.0,0.0008174144824522434
spoke,46.0,0.0008174144824522434
1,46.0,0.0008174144824522434
gentlemen,45.0,0.0007996446023989338
pass,45.0,0.0007996446023989338
chapter,45.0,0.0007996446023989338
seat,45.0,0.0007996446023989338
brother,45.0,0.0007996446023989338
sweet,45.0,0.0007996446023989338
features,45.0,0.0007996446023989338
thoughts,45.0,0.0007996446023989338
glad,44.0,0.0007818747223456242
georgiana,44.0,0.0007818747223456242
drew,44.0,0.0007818747223456242
arm,44.0,0.0007818747223456242
sent,44.0,0.0007818747223456242
scarcely,44.0,0.0007818747223456242
church,44.0,0.0007818747223456242
exclaimed,44.0,0.0007818747223456242
order,44.0,0.0007818747223456242
sought,44.0,0.0007818747223456242
forget,44.0,0.0007818747223456242
road,44.0,0.0007818747223456242
held,44.0,0.0007818747223456242
fast,44.0,0.0007818747223456242
children,43.0,0.0007641048422923145
feet,43.0,0.0007641048422923145
moon,43.0,0.0007641048422923145
added,43.0,0.0007641048422923145
gateshead,43.0,0.0007641048422923145
call,43.0,0.0007641048422923145
beyond,43.0,0.0007641048422923145
sky,43.0,0.0007641048422923145
silent,42.0,0.0007463349622390049
presence,42.0,0.0007463349622390049
business,42.0,0.0007463349622390049
matter,42.0,0.0007463349622390049
