Most common words,JE relative frequency,WH relative frequency,Relative frequency difference
heathcliff,0.0,0.008440693025322079,0.008440693025322079
linton,0.0,0.0071790315415370945,0.0071790315415370945
catherine,1.1146408069999442e-05,0.006734784540204353,0.0067236381321343535
hareton,0.0,0.0031808085295424258,0.0031808085295424258
sir,0.0035111185420498244,0.0007641048422923145,0.00274701369975751
master,0.0011146408069999444,0.0036428254109284763,0.002528184603928532
joseph,0.0,0.00248778320746335,0.00248778320746335
earnshaw,0.0,0.0022923145268769437,0.0022923145268769437
cathy,0.0,0.0022034651266103953,0.0022034651266103953
edgar,0.0,0.0020613060861839182,0.0020613060861839182
answered,0.0008359806052499582,0.002772101288316304,0.0019361206830663456
us,0.0014155938248899293,0.0032696579298089738,0.0018540641049190445
heights,2.2292816139998884e-05,0.001830297645490893,0.0018080048293508942
ellen,0.0,0.0017592181252776545,0.0017592181252776545
replied,0.00035668505823998215,0.002079075966237228,0.0017223909079972458
like,0.004469709636069776,0.002772101288316304,0.0016976083477534725
father,0.0006241988519199688,0.0022567747667703243,0.0016325759148503555
nelly,0.0,0.001581519324744558,0.001581519324744558
grange,3.343922420999833e-05,0.0015459795646379387,0.0015125403404279403
well,0.003878950008359806,0.0023989338071968014,0.0014800162011630045
one,0.006654405617789667,0.005188804975566415,0.001465600642223252
till,0.0012483977038399376,0.0026832518880497555,0.001434854184209818
hindley,0.0,0.0014215904042647713,0.0014215904042647713
cried,0.0006353452599899682,0.002025766326077299,0.0013904210660873307
yes,0.0022515744301398874,0.0009951132829853397,0.0012564611471545476
papa,0.00010031767262999498,0.0013149711239449134,0.0012146534513149184
wuthering,0.0,0.0011728120835184362,0.0011728120835184362
room,0.0029315053224098536,0.0017947578853842736,0.00113674743702558
looked,0.0024633561834698768,0.0013327410039982231,0.0011306151794716536
miss,0.003455386501699827,0.002327854286983563,0.001127532214716264
isabella,0.0,0.0011195024433585073,0.0011195024433585073
seemed,0.002340745694699883,0.0012261217236783652,0.0011146239710215179
get,0.0010254695424399486,0.002132385606397157,0.0011069160639572083
long,0.002775455609429861,0.0017414482452243448,0.0010340073642055164
cousin,0.0001337568968399933,0.0011550422034651267,0.0010212853066251333
young,0.0009028590536699549,0.0019013771657041315,0.0009985181120341765
let,0.0014936186813799253,0.00248778320746335,0.0009941645260834245
still,0.002742016385219863,0.0017592181252776545,0.0009827982599422084
eye,0.0013041297441899347,0.0003909373611728121,0.0009131923830171226
come,0.002496795407679875,0.003394047090182141,0.000897251682502266
yet,0.002753162793289862,0.0018658374055975121,0.00088732538769235
dean,0.0,0.0008707241226121724,0.0008707241226121724
exclaimed,0.0004904419550799755,0.0013327410039982231,0.0008422990489182476
kitchen,0.00037897787437998103,0.0011905819635717458,0.0008116040891917648
life,0.0018057181073399097,0.0009951132829853397,0.00081060482435457
going,0.0007913949729699604,0.001581519324744558,0.0007901243517745976
shall,0.002663991528729867,0.0034295868502887605,0.0007655953215588937
thought,0.002842334057849858,0.0020968458462905376,0.0007454882115593203
lad,1.1146408069999442e-05,0.0007463349622390049,0.0007351885541690055
stairs,0.00018948893718999052,0.0009240337627721013,0.0007345448255821109
home,0.0008917126455999555,0.0016170590848511772,0.0007253464392512217
voice,0.001382154600679931,0.0006574855619724567,0.0007246690387074742
day,0.002641698712589868,0.0019191470457574412,0.0007225516668324266
quite,0.0015716435378699215,0.0008529542425588627,0.0007186892953110588
new,0.0012483977038399376,0.0005330964015992892,0.0007153013022406483
passed,0.0010477623585799477,0.00033762772101288314,0.0007101346375670645
felt,0.0018057181073399097,0.0011017325633051976,0.0007039855440347121
near,0.001460179457169927,0.0007641048422923145,0.0006960746148776125
indeed,0.001259544111909937,0.0005686361617059085,0.0006909079502040286
began,0.0005907596277099704,0.001279431363838294,0.0006886717361283236
could,0.005640082483419718,0.0049755664149267,0.0006645160684930181
saw,0.0020732319010198963,0.0014215904042647713,0.000651641496755125
back,0.0015047650894499248,0.0021501554864504667,0.0006453903970005418
though,0.0015047650894499248,0.0021501554864504667,0.0006453903970005418
gimmerton,0.0,0.000639715681919147,0.000639715681919147
mistress,0.0002675137936799866,0.0009062638827187917,0.000638750089038805
little,0.00380092515186981,0.003163038649489116,0.0006378865023806937
gutenberg,0.0010700551747199465,0.0017059084851177254,0.0006358533103977789
night,0.002474502591539876,0.0018480675255442027,0.0006264350659956734
ill,0.00033439224209998327,0.0009595735228787206,0.0006251812807787373
zillah,0.0,0.0006219458018658375,0.0006219458018658375
stood,0.001382154600679931,0.0007641048422923145,0.0006180497583876165
oh,0.0012706905199799364,0.0018836072856508218,0.0006129167656708854
something,0.0015159114975199241,0.0009062638827187917,0.0006096476148011325
unless,0.0001560497129799922,0.0007641048422923145,0.0006080551293123223
son,0.00012261048876999387,0.0007285650821856952,0.0006059545934157014
much,0.0023295992866298834,0.001723678365171035,0.0006059209214588483
woman,0.0010477623585799477,0.000444247001332741,0.0006035153572472066
heard,0.0020063534525998996,0.0014038205242114616,0.000602532928388438
project,0.000980883910159951,0.001581519324744558,0.0006006354145846071
bid,0.00011146408069999443,0.0007107952021323857,0.0005993311214323912
strange,0.001081201582789946,0.0004975566414926699,0.0005836449412972762
boy,0.00011146408069999443,0.000693025322079076,0.0005815612413790815
among,0.00020063534525998996,0.0007818747223456242,0.0005812393770856342
sort,0.0007913949729699604,0.00021323856063971568,0.0005781564123302447
ever,0.001783425291199911,0.0012083518436250555,0.0005750734475748554
